Site	basin	TD	FD	PD	LCBDtax	LCBDfunc	LCBDphylo	Elevation	Gradient	SPI	Qmon	Qann	CatchArea	Order	Out_dist	MAT	Tsea	Ttrend	MAP	Psea	Ptrend	HFP	Urban	Cropland	TN	TP	EC	pH	DO	COD
YTR1	YTR	7.488175928	2.997874842	2.034892782	1.034577	0.46218645	0.480921	405	0.189651	0.006975614	0.072916667	5068.866	471454.3	8	2573.5	17.07797791	6.972212429	0.009943066	1125.381163	78.87164681	-1.946807613	50	0.807338227	0.073567875	3.8	0.093333333	414.2	8.79	9.2	2.6
YTR2	YTR	5.767689176	2.39140331	1.488923896	0.973297	0.543898397	0.517961	276	0.213913	0.013902905	2877.333333	2285.835	135287	7	2574.7	17.07797791	6.973097433	0.009943066	1125.381163	79.2930776	-1.946807613	50	0.510518741	0.272120896	1.8	0.146666667	253.4	8.7	8.6	2.3
YTR3	YTR	5.181635931	2.327663759	1.43756787	1.021589	0.580137389	0.820724	274	0.0001	9.650205619	2933.932292	7435.902	611623.7	8	2551.7	17.492818	6.96359162	0.009329408	1040.589983	77.99327849	-2.511507578	49.10243988	0.294887838	0.41967847	1.5	0.06	343	8.63	10.2	1
YTR4	YTR	7.734877465	2.951006307	1.783684317	1.023523	0.494077572	0.146929	271	0.163672	0.002995509	2953.369792	7475.253	615021.4	8	2502.3	17.75561373	6.99552165	0.008808899	1022.408289	71.83450701	-2.19299493	38.42308426	0.402664335	0.255432462	1.8	0.13	351.4	8.86	8.9	2.8
YTR5	YTR	7.585017964	2.05694962	1.847442671	0.957126	0.696118214	1.974935	263	0.217254	0.107957142	3061.671875	7492.516	619071.3	8	2440	18.33719841	7.105656885	0.010256788	976.5596214	68.55611243	-0.941517234	42.00659561	0.613183517	0.117679477	1.3	0.103333333	346.2	8.79	9.2	2.1
YTR6	YTR	3.511717446	1.945057395	1.448912006	0.991956	0.87041313	0.957625	285	0.034639	7.457178152	3061.671875	458.696	27789.9	6	2439.9	18.33719841	7.107230635	0.010256788	976.5596214	68.69551328	-0.941517234	42.00526428	0.681445796	0.183319423	4.4	0.133333333	474.3	9.02	11.5	7.1
YTR7	YTR	8.10302105	2.698472229	1.570499105	1.031133	0.414891274	0.204443	275	0.093527	0.004987542	0.1875	7944.773	647930.2	8	2369.2	17.64704727	7.18448971	0.011608687	1009.733204	66.78774998	-1.388663568	37.82855606	0.467414535	0.239262197	1.3	0.09	349.5	8.6	13	2.5
YTR8	YTR	11.13817904	2.476873757	1.557810625	0.990416	0.4731855	0.222069	260	0.0001	6.157866304	0.1875	302.476	17185.9	6	2370.5	17.64704727	7.190407513	0.011608687	1009.733204	66.8310802	-1.388663568	48.03701782	0.32366394	0.589641725	2	0.096666667	292.6	8.66	9.9	2.7
YTR9	YTR	8.788749653	2.960001982	1.845469962	0.990329	1.997187613	5.09E-02	255	0.00866	0.002995509	0.166666667	8277.979	666897.9	8	2357.1	17.27945982	7.227532742	0.009849358	979.1443921	66.64282684	-0.963372534	42.86514282	0.372477039	0.293350064	0.5	0.1	345.4	8.46	10.5	1.8
YTR10	YTR	5.372189142	1.877944142	1.142663429	1.010522	0.695339959	2.095594	214	0.087465	0.002995509	3265.28125	8359.693	671559.3	8	2258.5	18.33748597	7.370762047	0.010073844	1066.894913	68.12224878	0.384284223	50	0.407111969	0.226870501	1.2	0.096666667	339.8	8.58	10.9	1.2
YTR11	YTR	6.759579724	2.391876993	1.668810119	1.025802	0.634997695	0.310589	184	0.003464	0.006975614	0.072916667	8538.196	680016.5	8	2187.4	18.13038183	7.469075035	0.008876863	1249.348324	67.40032144	1.210906624	50	0.56010137	0.06348151	1.7	0.106666667	340.9	8.98	9.4	3
YTR12	YTR	5.799481518	2.461148525	1.300487471	1.058886	2.288478846	0.654659	184	0.15328	0.009950331	3342.255208	2367.462	159180.3	8	2187.2	18.13038183	7.47174587	0.008876863	1249.348324	67.84115708	1.210906624	47.52368546	0.669780452	0.018090697	2.1	0.07	293.3	8.79	12.8	2.6
YTR13	YTR	6.569117031	2.783271308	1.672108792	0.980122	0.740172579	0.249319	184	0.007563	0.009950331	4050.96875	10905.419	839316.2	9	2174.4	18.13038183	7.47901067	0.008876863	1249.348324	68.25469097	1.210906624	33.0843277	0.403341071	0.224835229	1.5	0.106666667	363.3	8.59	9.8	2.6
YTR14	YTR	6.783198714	1.873863696	1.749340519	1.013462	0.902064413	1.135882	308	0.098488	0.001998003	4141.46875	11124.045	850315.3	9	2063.3	17.08578946	7.579925639	0.010204945	1398.257797	63.96917044	-0.013008667	48.11775589	0.263350175	0.295455943	3.6	0.1	326.7	8.67	11.2	3
YTR15	YTR	13.48000422	2.205613638	2.237239326	1.028943	0.629325017	0.728108	347	0.172355	0.027615167	0.161458333	1697.559	86798.7	6	2060.1	16.4598699	7.57092811	0.009411486	1368.388322	63.73534349	-0.686599016	42.1123085	0.529133233	0.104669697	2.2	0.093333333	320	8.64	10.2	1.2
YTR16	YTR	12.29419798	3.093788421	2.100749275	1.002771	1.71898165	0.682467	309	0.043299	0.012916225	0.1875	12824.492	937251.7	9	2047.5	16.4598699	7.579990252	0.009411486	1368.388322	63.23357141	-0.686599016	40.17255402	0.14211213	0.58797694	1.6	0.096666667	328.2	8.62	8.6	1.7
YTR17	YTR	11.06722775	2.817877841	2.186703997	0.980809	0.519418726	0.155388	138	0.191382	0.009950331	5113.859375	0.403	17.8	1	1944.6	16.34874973	7.682937416	0.009952075	1498.602208	62.49400456	-0.366555133	43.07874298	0.291892575	0.198540452	1.6	0.083333333	326.6	8.86	11.4	1.3
YTR18	YTR	17.81167221	3.53014289	2.169837571	1.119939	0.282301538	0.40088	140	0.209592	0.004987542	0.953125	21.017	923.6	4	1940.1	16.34874973	7.632947289	0.009952075	1498.602208	62.6829778	-0.366555133	42.98833847	0.259628234	0.454428521	3	0.076666667	31.8	8.84	9.8	1.9
YTR19	YTR	9.314378184	1.893664014	1.745312066	1.014072	0.853703286	1.500606	99	0.247671	0.016857117	5158.776042	0.223	9.8	1	1854.8	16.24727456	7.843443348	0.009143341	1637.952794	63.87212079	0.264923163	36.71862411	0.405645419	0.127678125	3.3	0.093333333	339.5	8.68	12.5	1.8
YTR20	YTR	15.08994948	2.836166603	2.193654994	1.011656	0.305390089	9.26E-02	99	0.103715	0.002995509	5158.776042	5.618	245.3	3	1853.8	16.24727456	7.851668356	0.009143341	1637.952794	63.88680137	0.264923163	40.96778488	0.595762456	0.073480352	1.6	0.09	342.7	8.68	11.9	4.5
YTR21	YTR	11.13671522	3.444118497	2.083873457	1.002206	2.013831051	6.79E-02	146	0.432128	0.00796817	5202.338542	118.112	5165.5	5	1818.3	15.95533584	7.843910825	0.007980779	1592.625082	63.74939092	0.049085467	45.4941864	0.239272532	0.306195361	1.4	0.066666667	327.8	8.43	12.3	4
YTR22	YTR	2.65013144	1.570759957	1.44026566	1.135388	7.254724348	0.47732	146	0.253733	0.013902905	5202.338542	13241.516	952058.8	9	1813.8	15.95533584	7.840882287	0.007980779	1592.625082	63.6667871	0.049085467	42.83522797	0.319413001	0.161318778	2.1	0.096666667	331.9	8.4	11.1	6.8
YTR23	YTR	13.55190883	2.541656806	2.011334723	1.120897	0.519847206	1.082618	89	0.279712	0.002995509	0.109375	3.434	155.2	2	1732.8	14.55983019	7.950222957	0.00594392	1465.544919	64.7492244	-1.204158397	43.20027161	0.333353441	0.352656439	1.7	0.083333333	323.7	8.85	11.4	0.7
YTR24	YTR	16.05099121	3.695267948	2.235467461	1.046611	1.112040155	0.154242	239	0.280896	0.006975614	0.109375	13374.776	959346.3	9	1724.2	14.55983019	7.935640027	0.00594392	1465.544919	64.59824567	-1.204158397	41.61047363	0.392743289	0.125226061	2.5	0.076666667	309.8	8.69	10.7	1.5
